daily_price,lead_time,adults,children,repeated_guest,total_book,pre_cancel,pre_not_cancel,arr_date,arr_week,week_nights,weekend_nights,meal_plan,parking,special_req,canceled
114.3,127,2,0,0,0,0,0,2018-07-10,28,0,2,BB,0,1,0
111.78,104,2,0,0,0,0,0,2016-05-04,18,4,0,BB,0,0,1
79.5,96,2,0,0,0,0,0,2015-09-21,39,5,2,BB,1,1,0
122.08,86,2,1,0,0,0,0,2017-04-23,16,4,2,BB,0,2,0
251.5,7,2,2,0,0,0,0,2016-09-25,38,5,3,BB,0,0,1
154.0,31,3,0,0,0,0,0,2018-11-27,48,0,2,BB,0,1,0
136.0,8,2,0,0,0,0,0,2017-10-18,42,2,2,BB,0,2,0
170.0,67,2,0,0,0,0,0,2017-06-06,23,3,0,BB,0,0,1
90.0,5,2,0,0,0,0,0,2017-05-09,19,1,0,BB,0,0,1
62.0,323,2,0,0,1,1,0,2015-09-05,36,1,1,BB,0,0,1
51.4,510,1,0,0,0,0,0,2016-12-01,48,1,0,BB,0,0,1
43.0,1,1,0,0,0,0,0,2017-01-25,4,1,0,BB,0,1,0
148.0,170,3,0,0,0,0,0,2016-08-06,31,5,2,BB,1,2,0
106.25,195,2,0,0,0,0,0,2016-12-01,48,3,1,HB,0,2,0
118.0,18,3,0,0,0,0,0,2016-01-15,2,2,0,BB,0,2,0
85.0,25,2,0,0,0,0,0,2018-10-08,41,1,2,BB,0,0,0
46.1,115,1,0,0,0,0,0,2016-04-28,17,3,0,BB,0,1,0
70.0,44,2,0,0,0,0,0,2015-12-05,49,1,2,BB,0,0,1
87.48,34,2,0,0,0,0,0,2016-10-31,44,4,1,HB,0,0,0
151.06,204,3,0,0,0,0,0,2017-07-16,28,5,2,BB,0,1,0
63.0,1,2,0,0,0,0,0,2016-11-26,47,1,0,BB,0,0,0
124.0,7,2,0,0,0,0,0,2018-12-09,49,2,0,BB,0,1,0
122.4,396,2,0,0,0,0,0,2017-06-25,25,0,2,HB,0,1,0
75.0,95,1,0,0,0,0,0,2016-11-05,44,1,0,BB,0,0,1
115.0,120,1,0,0,0,0,0,2016-09-02,35,2,1,BB,0,0,1
90.0,34,1,0,0,1,1,0,2015-12-08,50,2,0,BB,0,0,1
158.0,5,1,0,0,0,0,0,2015-10-03,40,1,1,BB,0,0,0
40.0,40,1,0,0,0,0,0,2015-11-11,46,4,0,BB,0,0,1
88.0,6,1,0,0,0,0,0,2016-12-12,50,0,1,SC,0,1,1
134.0,138,2,0,0,0,0,0,2016-07-02,26,6,4,BB,0,0,1
140.0,59,2,0,0,0,0,0,2017-05-29,22,0,1,BB,0,0,1
97.0,28,2,0,0,0,0,0,2015-09-10,37,2,0,BB,0,0,0
139.95,106,3,0,0,0,0,0,2018-07-11,28,3,1,BB,0,2,0
81.6,24,2,0,0,0,0,0,2016-04-06,14,4,1,BB,0,0,0
41.6,23,1,0,0,0,0,0,2016-04-06,14,3,0,BB,0,0,0
75.0,105,2,0,0,0,0,0,2016-04-06,14,1,0,BB,0,0,1
39.0,33,1,0,0,0,0,0,2016-01-28,4,3,0,BB,0,0,1
95.79,142,0,2,0,0,0,0,2016-08-21,33,3,2,BB,0,1,0
110.0,12,1,0,1,5,0,5,2018-10-24,43,2,1,BB,0,0,0
115.0,162,1,0,0,0,0,0,2016-10-14,41,2,2,BB,0,0,1
148.95,37,3,0,0,0,0,0,2016-04-27,17,4,0,BB,0,0,1
85.16,137,2,0,0,0,0,0,2018-11-28,48,4,1,BB,0,1,1
145.0,0,2,0,0,0,0,0,2016-10-21,42,2,0,BB,0,0,1
95.0,16,1,0,0,0,0,0,2018-10-02,40,1,2,BB,0,0,0
